Year,Month,news_category,keyword,headline,date,news_station,link
2022,Apr,การเมือง,หาเสียง,"""สกลธี""หาเสียงตลาดชูแผนจับมือแบงก์ทำโครงการทุนดอกเบี้ยต่ำให้ผู้ค้า",2022-04-17,ThaiPBS,https://www.thaipbs.or.th/news/content/314626
2022,Apr,การเมือง,หาเสียง,‘สุชัชวีร์’เปิดตัวป้ายหาเสียงแบบใหม่ล้อมเสาไฟสามด้าน,2022-04-06,VoiceTV,https://voicetv.co.th/read/k7UpXQHYk
2022,Apr,การเมือง,ประยุทธ์,สงคราม'อัด'ประยุทธ์'บ้าอำนาจแนะลาออกหยุดหายนะประเทศ,2022-04-18,VoiceTV,https://voicetv.co.th/read/hN34gcEny
2022,Apr,การเมือง,บิ๊กตู่,ไม่อยากฟังอุดหู“บิ๊กป้อม”นายกฯ“บิ๊กตู่”เมินตอบนักข่าวธรรมนัสแนะใช้ม.272,2022-04-30,ไทยรัฐ,https://www.thairath.co.th/news/politic/2380801
2022,Apr,การเมือง,เลือกตั้ง,"โพลชี้เลือกตั้งผู้ว่าฯกทม.""ชัชชาติ""ยังนอนมา-""อัศวิน""แซง""สุชัชวีร์""",2022-04-10,ไทยรัฐ,https://www.thairath.co.th/news/politic/2364370
2022,Apr,การเมือง,เลือกตั้ง,"กกต.ชี้""ปารีณา""ไม่ต้องคืนเงินเดือนจัดเลือกตั้งส.ส.ภายใน45วัน",2022-04-07,ThaiPBS,https://www.thaipbs.or.th/news/content/314373
2022,Apr,การเมือง,เพื่อไทย,เพื่อไทยจ่ออภิปรายไม่ไว้วางใจ“บิ๊กตู่”ปมจัดซื้อUAVชี้จะเป็นหนังใหญ่ล้มรัฐบาล,2022-04-28,ไทยรัฐ,https://www.thairath.co.th/news/politic/2379917
2022,Apr,การเมือง,เพื่อไทย,อย่าชิงประกาศโควิดเป็นโรคประจำถิ่น ‘เพื่อไทย’เตือน‘รบ.’อาจซ้ำเติมชาวบ้าน,2022-04-02,VoiceTV,https://voicetv.co.th/read/ExZ51Wax0
2022,Apr,การเมือง,ผู้สมัคร,บอร์ดรายชื่อผู้สมัครผู้ว่าฯกทม.-ส.ก.ถูกติดตั้งในหน่วยเพื่อรอวันเลือกตั้งแล้วบรรยากาศที่หวนมาอีกในรอบ9ปี,2022-04-28,The Standard,https://thestandard.co/bangkok-governor-name-board-has-been-set-up-once-again-in-9-years/
2022,Apr,การเมือง,ผู้สมัคร,"เตือนผู้สมัคร""ผู้ว่าฯกทม.-ส.ก.""เข้มกฎหมายเลือกตั้งหาเสียงช่วงสงกรานต์",2022-04-13,ThaiPBS,https://www.thaipbs.or.th/news/content/314515
2022,Apr,การเมือง,ส.ส.,ราชกิจจาฯเผยแพร่พระราชกฤษฎีกาเลือกตั้งซ่อมส.ส.ราชบุรีเขต3แทน‘ปารีณา’21พ.ค.นี้,2022-04-18,workpoint,https://workpointtoday.com/election-radchaburee/
2022,Apr,การเมือง,ส.ส.,"""จุรินทร์""ลุย""ปัตตานี""แก้ประมง-ผู้สมัครส.ส.ชายแดนใต้เกินหลายเขต",2022-04-09,ไทยรัฐ,https://www.thairath.co.th/news/politic/2363851
2022,Apr,การเมือง,นโยบาย,ชัชชาติ'ชี้'ป้ายหาเสียง'ไม่สำคัญเท่านโยบายวอนอย่านำไปเป็นประเด็นขัดแย้ง,2022-04-05,VoiceTV,https://voicetv.co.th/read/KZhJYAysY
2022,Apr,การเมือง,นโยบาย,ชัชชาติชูนโยบายสร้างโอกาสผู้ค้าแผงลอยจัดระเบียบไม่ให้ขวางทางเท้าประกาศขออาสาดูแลกทม.ช่วงเทศกาลสงกรานต์,2022-04-12,The Standard,https://thestandard.co/bkk-election-2022-chadchart-sittipunt-9/
2022,May,การเมือง,กทม.,สุชัชวีร์ชูนโยบายการจัดการขยะด้วยแนวคิด‘เข้าให้ถึงเก็บให้ถี่’ยืนยันหากเป็นผู้ว่าฯกทม.จะไม่นั่งติดโต๊ะต้องลงพื้นที่นำแก้ปัญหาด้วยตัวเอง,2022-05-02,The Standard,https://thestandard.co/bkk-election-2022-suchatchavee-suwansawas-22/
2022,May,การเมือง,กรุงเทพฯ,สุชัชวีร์เผยจะตั้งใจสุดชีวิตทำหน้าที่ผู้ว่าฯนำความรู้ความสามารถแก้ปัญหาซ้ำซากในกรุงเทพฯ,2022-05-17,The Standard,https://thestandard.co/bkk-election-2022-suchatchavee-suwansawas-38/
2022,May,การเมือง,ชัชชาติ,"""ชัชชาติ""ปรับแผนชิงคะแนนคนกรุงพร้อมจะเป็นผู้ว่าฯของทุกคน",2022-05-09,ThaiPBS,https://www.thaipbs.or.th/news/content/315318
2022,May,การเมือง,ชัชชาติ,นายกฯเชื่อเปลี่ยนผู้ว่าฯคนใหม่ไม่เป็นอุปสรรคต่อสัมปทานรถไฟฟ้าสายสีเขียวรอรับรอง‘ชัชชาติ’แล้วมาคุยกันเผยไม่ใช่ศัตรูกับใครทำงานด้วยหลักการ,2022-05-24,The Standard,https://thestandard.co/pm-believe-changing-bangkok-governor-wont-effect-green-line-train-concession/
2022,May,การเมือง,ผู้ว่าฯกทม.,พล.อ.ประวิตรยินดีหลังชัชชาติคว้าชัยนั่งผู้ว่าฯกทม.พร้อมสนับสนุนการทำงานขณะที่พปชร.ได้ส.ก.2เขต,2022-05-23,The Standard,https://thestandard.co/prawit-congratulates-chatchart-as-bkk-governor/
2022,May,การเมือง,ผู้ว่าฯกทม.,ลีน่าจังเชียร์ศศิกานต์เป็นผู้ว่าฯกทม.เผยอยากเห็นผู้ว่าฯหญิงแก้ปัญหาน้ำท่วมรถไฟฟ้าแพง,2022-05-14,The Standard,https://thestandard.co/bkk-election-2022-leena-jung-support-sasikan-apichatworasin/
2022,May,การเมือง,ส.ก.,“อุ๊งอิ๊ง”ชวนคนกรุงเลือกส.ก.เพื่อไทยให้ได้เกินครึ่งเพื่อดันนโยบายพรรค,2022-05-12,ThaiPBS,https://www.thaipbs.or.th/news/content/315438
2022,May,การเมือง,ส.ก.,‘รัชพล’ผู้สมัครส.ก.เขตบางกอกใหญ่ไทยสร้างไทยพร้อมผสานพลังคนรุ่นเก่า-ใหม่ขับเคลื่อนกรุงเทพฯ,2022-05-20,workpoint,https://workpointtoday.com/bangkok2022-thaisangthaiparty/
2022,May,การเมือง,ประยุทธ์,‘ประยุทธ์’เดือด!โชว์ใช้หนี้จำนำข้าว7.8แสนล้านซัดฝ่ายค้านพูดเรื่องเก่าเมินสิ่งใหม่ที่รบ.ทำ,2022-05-31,VoiceTV,https://voicetv.co.th/read/5ECr-mPgY
2022,May,การเมือง,ประยุทธ์,นักข่าวถามชัชชาติแลนด์สไลด์สะท้อนเรตติ้งนายกฯหรือไม่ประยุทธ์ตอบไม่สะท้อนอะไรทั้งนั้นใครจะนิยมไม่นิยมผมก็ทำเต็มที่,2022-05-23,The Standard,https://thestandard.co/pm-answered-chadchart-trend-would-effect-him-or-not/
2022,May,การเมือง,นายกฯ,นายกฯถกศบค.20พ.ค.ผ่อนคลายมาตรการ-ปรับลดเตือนภัยโควิด,2022-05-19,VoiceTV,https://voicetv.co.th/read/Zka5h5S_r
2022,May,การเมือง,นายกฯ,“หมอระวี”ชี้ควบรวม“ทรูมูฟ-ดีแทค”อำนาจเหนือตลาดจี้นายกฯ-กสทช.แก้,2022-05-26,ไทยรัฐ,https://www.thairath.co.th/news/politic/2402732
2022,May,การเมือง,เพื่อไทย,“อุ๊งอิ๊ง”ลงพื้นที่หาเสียงครั้งแรกอ้อนคนกรุงเทพฯให้โอกาสส.ก.เพื่อไทยทำงาน,2022-05-08,ไทยรัฐ,https://www.thairath.co.th/news/politic/2387301
2022,May,การเมือง,เพื่อไทย,"เพื่อไทยชี้แค่ก๊อบปี้ท้า“บิ๊กตู่”อธิบาย5นโยบายที่อ้าง""ทำแล้ว""",2022-05-02,ไทยรัฐ,https://www.thairath.co.th/news/politic/2382422
2022,May,การเมือง,นโยบาย,ชัชชาติลุยเสนอนโยบายพัฒนากทม.ในเขตจอมทอง-พระนครอุ่นเครื่องก่อนปราศรัยใหญ่8พ.ค.นี้ที่สวนลุมพินี,2022-05-07,The Standard,https://thestandard.co/bkk-election-2022-chadchart-sittipunt-25/
2022,May,การเมือง,นโยบาย,ชัชชาติลุยจอมทอง-พระนครขึ้นลังไม้โชว์นโยบายพัฒนากทม.เตรียมปราศรัยใหญ่8พ.ค.ที่สวนลุมพินี,2022-05-07,VoiceTV,https://voicetv.co.th/read/ZiSY9krP4
2022,May,การเมือง,รัฐบาล,รัฐบาลแนะผู้ปกครองดูแลสุขภาพลูกหลานช่วงหน้าฝนห่วงป่วยไข้หวัด-ไข้หวัดใหญ่,2022-05-15,ไทยรัฐ,https://www.thairath.co.th/news/politic/2392897
2022,May,การเมือง,รัฐบาล,โฆษกรัฐบาลเผยนายกฯห่วงใยประชาชนเตือน27-31พ.ค.ระวังฝนหนัก,2022-05-28,ไทยรัฐ,https://www.thairath.co.th/news/politic/2404335
2022,May,การเมือง,ประชาชน,‘ต้องปราบโกงให้ได้’รสนาเปิดปราศรัยใหญ่ครั้งแรกชี้ก่อนเริ่มทำนโยบายพัฒนากรุงเทพฯประชาชนต้องมีส่วนร่วมตรวจสอบ,2022-05-12,The Standard,https://thestandard.co/bkk-election-2022-rosana-tositrakul-10/
2022,May,การเมือง,ประชาชน,จุรินทร์ย้ำประชาธิปัตย์รู้หน้าที่เป็นพรรคร่วมต้องสนับสนุนรัฐบาลทำงานเพื่อประโยชน์ประเทศชาติ-ประชาชน,2022-05-10,The Standard,https://thestandard.co/jurin-repeated-democracy-party-knows-their-duty/
2022,Jun,การเมือง,ชัชชาติ,‘จัดระเบียบสายสื่อสาร’ชัยวุฒิเตรียมหารือชัชชาตินำสายไฟฟ้าทั่วกรุงเทพฯลงดินคาดใช้งบ2หมื่นล้านบาท,2022-06-27,The Standard,https://thestandard.co/chaiwut-prepare-meet-up-with-chadchart-on-putting-electricity-wire-underground/
2022,Jun,การเมือง,ชัชชาติ,ชัชชาติ-ปรเมศวร์'หารือนายกฯก่อนร่วมถกศบค.,2022-06-17,VoiceTV,https://voicetv.co.th/read/DchlqPs6J
2022,Jun,การเมือง,นายกฯ,นายกฯชวนคนไทยเที่ยวงานเทศกาลทุเรียนภูเขาไฟศรีสะเกษ9-15มิ.ย.นี้,2022-06-07,ไทยรัฐ,https://www.thairath.co.th/news/politic/2413066
2022,Jun,การเมือง,นายกฯ,นายกฯสั่งปรับยุทธศาสตร์หลังพอใจGoogleชี้ทิศทางท่องเที่ยวไทยฟื้น,2022-06-18,ไทยรัฐ,https://www.thairath.co.th/news/politic/2422497
